Category: All categories

Region,"sweater: (05/01/2026, 00:39 - 06/01/2026, 00:39)"
Sikkim,100
Nagaland,68
Himachal Pradesh,66
Punjab,65
Uttarakhand,64
Chandigarh,64
Assam,64
Meghalaya,63
Delhi,60
Jammu & Kashmir,56
Haryana,55
Tripura,53
Jharkhand,45
West Bengal,45
Uttar Pradesh,43
Bihar,41
Manipur,39
Arunachal Pradesh,37
Rajasthan,36
Mizoram,33
Madhya Pradesh,32
Chhattisgarh,22
Odisha,21
Karnataka,20
Gujarat,19
Telangana,14
Maharashtra,13
Andhra Pradesh,10
Kerala,8
Tamil Nadu,7
Goa,5
Lakshadweep,
Puducherry,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
